Song Name,Artist,Genre
Walk,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Dirty Talk,Wynter Gordon,
Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj","big room,dance pop,edm,pop,pop dance,hip pop,pop,queens hip hop,rap"
Never Gonna Not Dance Again,P!nk,"dance pop,pop"
I Go To Rio,Peter Allen,
Thunder,Imagine Dragons,"modern rock,pop,rock"
Complicated,Avril Lavigne,"canadian pop,candy pop,pop"
Right Type of Mood,HERBIE,
Jump Around,House Of Pain,"gangster rap,hip hop,rap rock,west coast rap"
When We Were Kids,The Galvatrons,
"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat","dance pop,pop,dance pop,pop"
Interstate Love Song,Stone Temple Pilots,"alternative metal,alternative rock,classic rock,grunge,hard rock,nu metal,post-grunge,rock"
We Belong,Sheppard,"australian indie,folk-pop"
Believer,Imagine Dragons,"modern rock,pop,rock"
Walls,Flowers,australian rock
Seventeen,Winger,"album rock,glam metal,hard rock"
Macarena - Bayside Boys Remix,Los Del Rio,tropical
Jean,Oliver,
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake","dance pop,edm,electro house,moombahton,pop,pop dance,danish pop,electropop,pop,pop dance,edm,electronic trap,pop,pop dance"
Word Up!,Korn,"alternative metal,funk metal,hard rock,nu metal,post-grunge,rap metal,rock"
Let Me Blow Ya Mind,"Eve, Gwen Stefani","contemporary r&b,dance pop,hip pop,philly rap,r&b,urban contemporary,dance pop,pop"
Flaws,Bastille,"metropopolis,modern rock,pop"
Ghost,Ella Henderson,"dance pop,pop dance,talent show,uk pop"
We'll Sing in the Sunshine,Gale Garnett,american folk revival
Sex & Candy,Marcy Playground,"alternative metal,alternative rock,grunge,pop rock,post-grunge"
Perfect,Simple Plan,"canadian pop punk,canadian punk,canadian rock,modern rock,neon pop punk,pop punk"
Two Tickets to Paradise (2022 Remaster),Eddie Money,"album rock,classic rock,country rock,glam metal,hard rock,mellow gold,soft rock,southern rock"
The Box,Roddy Ricch,"melodic rap,rap,trap"
Cinnamon,Derek,
Tiny Dancer,Elton John,"glam rock,mellow gold,piano rock,rock"
Hello Friday (feat. Jason Derulo),"Flo Rida, Jason Derulo","dance pop,miami hip hop,pop,pop rap,dance pop,pop"
